Headline,Sentiment,Score
"India Bars BYD Entry as Minister Signals Preference for Tesla, Citing Trade Concerns",Neutral,0.0
"Trump's auto tariffs will have a 'significant' impact on Tesla, Elon Musk says",Positive,0.375
People are ditching their Teslas in huge numbers as the Elon Musk backlash grows,Positive,0.39999999999999997
Tesla just reported its worst quarterly sales in years as Elon Musk courts controversy,Negative,-1.0
A top Trump official is now hawking Tesla stock: 'Itâ€™ll never be this cheap again',Positive,0.45
Trump is trying to save Tesla from the anti-Elon Musk crowd,Neutral,0.0
Nearly every Cybertruck has been recalled. Here's all the other car recalls this month you should know about,Neutral,-0.012499999999999997
BYD's stock jumps on better-than-expected earnings,Neutral,0.0
Tesla recalls all the Cybertrucks it's ever sold in the U.S.,Neutral,0.0
Elon Musk says his DOGE gig has cost him and Tesla 'a lot',Neutral,0.0
